PROMOTOR-GESTOR;ACCES;TIPUS VELOCITAT;TIPUS CONNEXIÓ;LATITUD;LONGITUD;DESIGNACIÓ-DESCRIPTIVA;POTENCIA;TIPUS DE CORRENT;INDENTIFICADOR;ADREÇA;PROVINCIA;CODIPROV;MUNICIPI;NPLACES ESTACIÓ;TIPUS VEHICLE;Columna amb georeferència
Institut Català d'Energia i Ajuntament de Sant Feliu de Guíxols;;semiRAPID;2xMENNEKES.F;4178059;30219;EdRsR Guíxols Estació BUSOS (AC22kW) PIRVEC-29;22;AC;PIRVEC-29;Carrer Dr. Rovira, 47;Girona;17;Sant Feliu de Guíxols;2;;POINT (3.0219 41.78059)
AEB;VIA PUBLICA;NORMAL;Schuko;41359982;2133193;89 AjBCN-ETRA-COBRA;;;LC009;Carretera del Prat, 42;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.133193 41.359982)
Institut Català d'Energia i Ajuntament de Roses;;semiRAPID i NORMAL;2xMENNEKES.F + 2xSchuko;4226494;317073;EdRsR Roses (AC22kW) PIRVEC-22;22;AC;PIRVEC-22;Avinguda de Rhode, 58;Girona;17;Roses;2;;POINT (3.17073 42.26494)
IBIL;ESTACIÓ DE SERVEI (IBIL);RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4111432;115586;IBIL ES REPSOL-Vilaseca (DC50kW AC43kW);50;AC-DC;;Avinguda Vila del Comú 22A;Tarragona;43;Vilaseca;1;cotxe;POINT (1.15586 41.11432)
CIRCONTROL;APARCAMENT SEU (PRIVAT);semiRAPID i NORMAL;MENNEKES.M+Schuko;41560821;1961738;Seu CIRCONTROL 22kW;22;AC;;Carrer Innovació,3 - P I. Can Mitjans;Barcelona;8;Viladecavalls;7;cotxe i moto;POINT (1.9617380000000002 41.560821)
Aparcament Europa;APARCAMENT PUBLIC;NORMAL;Schuko;41729438;1824378;Aparcament Europa;;;;Carrer Pere III, 55A;Barcelona;8;Manresa;2;cotxe;POINT (1.824378 41.729438)
;;semiRAPID i NORMAL;2xMENNEKES.F+2xSchuko;4088558;80385;EdRsR L'Ametlla de Mar (AC22kW);22;AC;;Carrer Sant Joan, 57;Tarragona;17;L'Ametlla de Mar;2;;POINT (0.8038500000000001 40.88558)
El Corte Ingles Tarragona;APARCAMENT CC;NORMAL;Schuko;41121159436;1242038612;CC El Corte Ingles (Tarragona);;;;Avinguda  President LLuis Companys 7-11;Tarragona;43;Tarragona;3;cotxe i moto;POINT (1.242038612 41.121159436)
Aparcament Dr.Roig i Raventós;APARCAMENT PUBLIC;NORMAL;Schuko;414035393;2130069;Aparcament Dr.Roig i Raventós (P-1);;;;Carrer Dalmases, 76 B;Barcelona;8;Barcelona;1;;POINT (2.130069 41.4035393)
MOBILITAT-IBERDROLA;VIA PUBLICA (MOBECPOINT);NORMAL;Schuko;4,14592E+16;2,22885E+15;MOBECPOINT-Institut Gaudí Construcció;;;;Avinguda Comunitat Europea;Barcelona;8;Badalona;1;moto;POINT (2.2288499772548676 41.459165763709166)
Parking Ninot;;NORMAL;Schuko i MENNEKES.F;4,13898E+14;2,15518E+13;Aparcament Ninot;;;;Carrer de Provença, 192;Barcelona;8;Barcelona;2;cotxe i moto;POINT (2.1551764011383 41.3897592260418)
Endesa;VIA PUBLICA;NORMAL;Schuko;41380928;2142103;25 AjBCN-Endesa-Sants;;;LC010;Avinguda  de Josep Tarradellas, 1;Barcelona;8;Barcelona;2;moto;POINT (2.142103 41.380928)
;;semiRAPID;MENNEKES.F;4161072;223988;EdRsR EP-Estabanell Lliçà QR (AC22kW);22;AC;;Carrer de l'Aliança, 14;Barcelona;8;Lliçà d'Amunt;2;cotxe i moto;POINT (2.23988 41.61072000000001)
;VIA PUBLICA;superRAPID;TESLA;4235895;146278;TESLA Supercarregador - La Seu d'Urgell (120kW);120;DC;;;Lleida;25;La Seu d’Urgell;10;cotxe;POINT (1.46278 42.35895)
;;semiRAPID;TESLA i MENNEKES;4140548;219148;CC Glories (22kW);22;AC;;Avinguda Diagonal 208;Barcelona;8;Barcelona;14;;POINT (2.19148 41.40548)
;;semiRAPID i NORMAL;MENNEKES.F+Schuko;4158935;162138;Aparcament Park Igualada N SIMA (AC22kW);22;AC;;Carrer de Lecco, 30;Barcelona;8;Igualada;2;;POINT (1.62138 41.58935)
GAICU;VIA PUBLICA;RAPID;CCS Combo2+ChadeMO+MENNEKES.M;4140263;219475;EdRR-MediaTIC -Santiago Losada- (DC50kW AC43kW);50;AC-DC;FC016;Carrer Roc Boronat, 117;Barcelona;8;Barcelona;1;cotxe;POINT (2.19475 41.40263)
Institut Català d'Energia i Ajuntament de Tortosa;;RAPID;CCS Combo2+ChadeMO+MENNEKES.F;4080762;52007;EdRsR-EdRR Tortosa (DC28W AC22kW) PIRVEC-15;28;AC-DC;PIRVEC-15;Avinguda de la Generalitat, 72;Tarragona;43;Tortosa;2;;POINT (0.52007 40.80762)
